Delay : 2, Total Response Took: 2.092, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.08, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.089, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.084, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.096, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.033, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.032, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.029, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.055, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.065, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.12, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.132, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.083, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.07, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.148, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.051, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.099, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.066, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.065, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.024, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.021, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.045, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.05, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.049, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.129, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.131, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.126, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.147, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.142, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.16, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.149, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.154, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.14, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.168, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.157, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.117, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.158, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.157, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.039, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.095, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.109, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.101, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.111, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.111, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.108, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.125, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.115, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.125, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.105, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.042, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.097, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.123, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
